agegp,yearc,st,N_cases
Age 18-49,2022,3,105
Age 18-49,2022,31,8
Age 18-49,2022,33F,9
Age 18-49,2022,34,4
Age 18-49,2022,35B,12
Age 18-49,2022,35D,1
Age 18-49,2022,35F,9
Age 18-49,2022,38,1
Age 18-49,2022,4,103
Age 18-49,2022,6A,1
Age 18-49,2022,6C,8
Age 18-49,2022,7C,10
Age 18-49,2022,7F,8
Age 18-49,2022,8,31
Age 18-49,2022,9N,49
Age 18-49,2022,MISS,122
Age 50-64,2022,10A,11
Age 50-64,2022,11A,20
Age 50-64,2022,12F,36
Age 50-64,2022,13,2
Age 50-64,2022,15A,30
Age 50-64,2022,15B,9
Age 50-64,2022,15C,8
Age 50-64,2022,15F,1
Age 50-64,2022,16F,28
Age 50-64,2022,17F,3
Age 50-64,2022,18A,2
Age 50-64,2022,18F,1
Age 50-64,2022,19A,18
Age 50-64,2022,19F,31
Age 50-64,2022,20,47
Age 50-64,2022,21,1
Age 50-64,2022,22F,61
Age 50-64,2022,23A,24
Age 50-64,2022,23B,34
Age 50-64,2022,28A,2
Age 50-64,2022,3,109
Age 50-64,2022,31,9
Age 50-64,2022,33F,18
Age 50-64,2022,34,6
Age 50-64,2022,35B,34
Age 50-64,2022,35F,7
Age 50-64,2022,38,3
Age 50-64,2022,4,59
Age 50-64,2022,6A,2
Age 50-64,2022,6C,7
Age 50-64,2022,7C,20
Age 50-64,2022,7F,5
Age 50-64,2022,8,25
Age 50-64,2022,9N,58
Age 50-64,2022,9V,1
Age 50-64,2022,MISS,152
Age 65+,2022,10A,12
Age 65+,2022,10F,1
Age 65+,2022,11A,32
Age 65+,2022,12F,19
Age 65+,2022,13,4
Age 65+,2022,15A,46
Age 65+,2022,15B,24
Age 65+,2022,15C,10
Age 65+,2022,16F,41
Age 65+,2022,17F,9
Age 65+,2022,18C,1
Age 65+,2022,18F,1
Age 65+,2022,19A,12
Age 65+,2022,19F,29
Age 65+,2022,20,32
Age 65+,2022,21,1
Age 65+,2022,22F,75
Age 65+,2022,23A,47
Age 65+,2022,23B,33
Age 65+,2022,28A,2
Age 65+,2022,3,141
Age 65+,2022,31,15
Age 65+,2022,33F,32
Age 65+,2022,34,14
Age 65+,2022,35B,45
Age 65+,2022,35F,13
Age 65+,2022,38,7
Age 65+,2022,4,21
Age 65+,2022,6C,15
Age 65+,2022,7C,26
Age 65+,2022,8,20
Age 65+,2022,9N,49
Age 65+,2022,MISS,161
Age 65+,2022,NT,1
